               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097905,            0.031769,                   0,            0.053225,             0.20449,            0.028761,           0.0068894,            0.073569,            0.016198,                   0,            0.070231,           0.0033077,           0.0033077
                   1,            0.074723,            0.032048,                   0,             0.18354,             0.16629,            0.095043,            0.030171,            0.065802,            0.014837,                   0,            0.040099,           0.0065095,           0.0065095
                   2,            0.064588,            0.029339,                   0,             0.25124,             0.21348,             0.14415,            0.042186,             0.05712,            0.014905,                   0,           0.0098358,           0.0095794,           0.0095794
                   3,            0.061621,            0.029757,                   0,             0.41051,             0.28539,             0.27642,            0.098298,            0.055625,            0.014856,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.059022,            0.028451,                   0,             0.35756,             0.32809,             0.27579,            0.092227,            0.052386,            0.014673,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.055286,            0.028465,                   0,             0.34191,             0.32584,             0.26087,            0.093231,            0.051171,            0.014436,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.055459,            0.028476,                   0,             0.39081,             0.37753,              0.3228,             0.11848,            0.049903,            0.014625,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.053986,            0.028221,                   0,             0.40384,              0.3573,             0.33633,             0.12207,            0.049108,            0.014707,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.052658,            0.028722,                   0,             0.41624,                 0.4,             0.35755,             0.13426,            0.046659,            0.014225,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.050666,            0.028035,                   0,             0.49865,             0.44719,             0.44783,             0.16312,            0.044936,            0.014033,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.051152,            0.027981,                   0,             0.39303,             0.41907,             0.36187,             0.14678,            0.046968,            0.013967,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.048955,            0.028597,                   0,             0.45864,             0.39551,             0.37027,             0.14557,            0.046145,            0.013777,                   0,             0.00802,             0.00802,             0.00802
                  12,             0.04847,             0.02637,                   0,             0.46485,             0.45286,             0.39387,             0.15222,            0.043867,            0.014088,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.048047,            0.027124,                   0,             0.40302,             0.40674,             0.35201,             0.13401,            0.045875,             0.01408,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.047567,            0.027088,                   0,             0.48111,             0.48315,             0.45207,              0.1836,            0.043895,             0.01379,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.046749,              0.0268,                   0,             0.50345,             0.45568,             0.45784,             0.19109,            0.042191,            0.013705,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.046617,            0.026554,                   0,             0.46114,             0.44807,             0.44178,             0.17994,            0.046719,             0.01375,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.046715,             0.02733,                   0,             0.51809,             0.48801,             0.48816,             0.20726,            0.042626,            0.013447,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.045223,            0.026723,                   0,             0.50221,             0.48989,              0.4611,             0.18551,            0.042304,            0.013478,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.044177,            0.026252,                   0,             0.47336,             0.51709,             0.46567,             0.19874,            0.041961,             0.01331,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.044433,            0.026732,                   0,             0.47371,             0.49888,             0.46175,             0.19544,            0.042512,            0.013773,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.043364,            0.026567,                   0,             0.54151,             0.53347,             0.52278,             0.22317,            0.040694,            0.013239,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.043876,            0.026637,                   0,              0.4656,             0.51461,             0.46199,             0.19729,            0.041384,            0.013424,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.042703,            0.025769,                   0,             0.59744,             0.55056,             0.56235,             0.23701,            0.039884,            0.013006,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.042968,            0.025318,                   0,             0.57494,             0.55955,             0.54933,              0.2303,            0.040146,              0.0131,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.041658,            0.025558,                   0,             0.55912,             0.53483,             0.51954,             0.22776,            0.041511,            0.013029,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.041345,            0.026119,                   0,             0.57587,             0.59551,             0.57002,             0.26244,            0.038982,            0.012857,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.040745,            0.025261,                   0,              0.6002,             0.51461,             0.53512,             0.24516,            0.039973,            0.013119,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.040659,            0.025329,                   0,             0.54653,             0.57303,             0.54954,             0.25165,            0.038563,            0.013006,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.040455,            0.025074,                   0,             0.60498,             0.58202,              0.5779,             0.26123,            0.039231,            0.012562,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.040719,            0.024854,                   0,             0.58129,             0.57303,             0.57201,              0.2554,            0.038371,            0.012995,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.039383,             0.02349,                   0,             0.58629,             0.53483,             0.52138,             0.23949,            0.041478,            0.012981,                   0,             0.00406,             0.00406,             0.00406
                  32,             0.03911,            0.023894,                   0,             0.56278,             0.61612,              0.6003,             0.27815,            0.038025,            0.012638,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.038091,            0.023843,                   0,             0.62727,             0.61266,             0.62844,              0.2966,            0.037453,            0.012522,                   0,            0.003664,            0.003664,            0.003664
                  34,             0.03806,            0.022933,                   0,             0.63092,             0.60674,             0.60933,             0.28503,            0.036969,            0.012828,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.037655,            0.022312,                   0,             0.64381,             0.58897,             0.62403,              0.2928,            0.036418,            0.012803,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.037563,            0.022739,                   0,             0.69229,             0.55955,             0.64249,             0.29736,            0.037189,            0.012454,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.037529,            0.022452,                   0,             0.69659,             0.60879,             0.65457,             0.31797,            0.036608,            0.012282,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.036655,            0.022064,                   0,             0.61211,             0.66742,             0.63974,             0.31015,            0.036869,            0.012266,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.036818,            0.023021,                   0,             0.66231,             0.66966,             0.67775,             0.33727,            0.035405,            0.012182,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.036475,             0.02234,                   0,             0.72387,             0.67156,             0.71239,             0.33188,            0.035103,            0.012186,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.035767,            0.022302,                   0,             0.69135,             0.62697,             0.67809,             0.32864,            0.035281,            0.012346,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.035126,            0.021813,                   0,             0.70146,             0.65472,             0.69671,              0.3436,            0.034995,            0.012095,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.035829,            0.022212,                   0,             0.71311,             0.68147,             0.69854,             0.34629,            0.034564,            0.012173,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.034976,            0.021996,                   0,             0.68287,             0.69679,             0.69627,             0.34472,            0.034293,            0.012056,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.033954,            0.022004,                   0,             0.70942,              0.6809,             0.71168,             0.35519,            0.034048,            0.012143,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.033263,            0.020966,                   0,             0.69216,             0.68539,             0.70456,             0.35043,            0.033928,             0.01197,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.033164,            0.020793,                   0,             0.72782,               0.673,              0.7185,             0.36479,            0.033733,            0.011885,                   0,            0.000892,            0.000892,            0.000892
                  48,             0.03289,            0.021081,                   0,              0.7206,              0.6723,             0.72023,             0.36362,            0.033571,            0.011934,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.033425,            0.020776,                   0,             0.72354,             0.67416,             0.71521,             0.35981,            0.033953,            0.011916,                   0,            0.000496,            0.000496,            0.000496
